sampleid	condition
TCGA.A8.A09M.01A.11R.A00Z.07	Tumor
TCGA.AC.A8OP.01A.11R.A36F.07	Tumor
TCGA.E2.A153.01A.12R.A12D.07	Tumor
TCGA.A8.A07I.01A.11R.A00Z.07	Tumor
TCGA.GM.A3XN.01A.12R.A22U.07	Tumor
TCGA.AO.A0JE.01A.11R.A056.07	Tumor
TCGA.B6.A0IH.01A.11R.A115.07	Tumor
TCGA.AO.A1KT.01A.11R.A13Q.07	Tumor
TCGA.A2.A1G6.01A.11R.A13Q.07	Tumor
TCGA.E2.A1BD.01A.11R.A12P.07	Tumor
TCGA.B6.A0RN.01A.12R.A084.07	Tumor
TCGA.BH.A18Q.01A.12R.A12D.07	Tumor
TCGA.C8.A131.01A.11R.A115.07	Tumor
TCGA.A8.A07P.01A.11R.A00Z.07	Tumor
TCGA.AR.A0TZ.01A.12R.A084.07	Tumor
TCGA.AR.A0TW.01A.11R.A084.07	Tumor
TCGA.D8.A13Y.01A.11R.A115.07	Tumor
TCGA.A2.A4S1.01A.21R.A266.07	Tumor
TCGA.A2.A0YH.01A.11R.A109.07	Tumor
TCGA.D8.A1X5.01A.11R.A14D.07	Tumor
TCGA.OL.A66P.01A.11R.A31O.07	Tumor
TCGA.AR.A24M.01A.11R.A169.07	Tumor
TCGA.AC.A23G.01A.11R.A213.07	Tumor
TCGA.E9.A1RC.01A.11R.A157.07	Tumor
TCGA.A2.A0YK.01A.22R.A109.07	Tumor
TCGA.OL.A5RZ.01A.11R.A28M.07	Tumor
TCGA.BH.A0BZ.01A.31R.A12P.07	Tumor
TCGA.JL.A3YX.01A.11R.A22U.07	Tumor
TCGA.A2.A0CQ.01A.21R.A034.07	Tumor
TCGA.OL.A66L.01A.12R.A31O.07	Tumor
TCGA.AR.A2LM.01A.11R.A180.07	Tumor
TCGA.AR.A1AP.01A.11R.A12P.07	Tumor
TCGA.A2.A0D2.01A.21R.A034.07	Tumor
TCGA.AN.A0FD.01A.11R.A034.07	Tumor
TCGA.A8.A09Q.01A.11R.A00Z.07	Tumor
TCGA.GM.A2DC.01A.11R.A18M.07	Tumor
TCGA.C8.A12Q.01A.11R.A115.07	Tumor
TCGA.E9.A1RG.01A.11R.A14D.07	Tumor
TCGA.A8.A06O.01A.11R.A00Z.07	Tumor
TCGA.A7.A13G.01B.04R.A22O.07	Tumor
TCGA.E2.A1IL.01A.11R.A14D.07	Tumor
TCGA.E2.A15D.01A.11R.A115.07	Tumor
TCGA.E2.A14X.01A.11R.A115.07	Tumor
TCGA.B6.A0I5.01A.11R.A034.07	Tumor
TCGA.BH.A5IZ.01A.11R.A27Q.07	Tumor
TCGA.AC.A3OD.01A.11R.A21T.07	Tumor
TCGA.A7.A6VY.01A.12R.A33J.07	Tumor
TCGA.AR.A0TQ.01A.11R.A084.07	Tumor
TCGA.AC.A2FM.01A.11R.A19W.07	Tumor
TCGA.A2.A4S0.01A.21R.A266.07	Tumor
TCGA.E9.A6HE.01A.11R.A31O.07	Tumor
TCGA.E2.A14T.01A.11R.A115.07	Tumor
TCGA.E2.A1LI.01A.12R.A157.07	Tumor
TCGA.AN.A0FF.01A.11R.A034.07	Tumor
TCGA.BH.A1ES.06A.12R.A24H.07	Tumor
TCGA.GI.A2C8.01A.11R.A16F.07	Tumor
TCGA.E9.A1RB.01A.11R.A157.07	Tumor
TCGA.GM.A2DO.01A.11R.A18M.07	Tumor
TCGA.A7.A0CD.01A.11R.A00Z.07	Tumor
TCGA.A8.A075.01A.11R.A084.07	Tumor
TCGA.AR.A2LQ.01A.22R.A18M.07	Tumor
TCGA.E9.A22D.01A.11R.A157.07	Tumor
TCGA.AR.A24T.01A.11R.A169.07	Tumor
TCGA.A2.A0EN.01A.13R.A084.07	Tumor
TCGA.A2.A0D0.01A.11R.A00Z.07	Tumor
TCGA.E9.A2JT.01A.22R.A18M.07	Tumor
TCGA.AQ.A54O.01A.11R.A266.07	Tumor
TCGA.BH.A0H3.01A.11R.A12P.07	Tumor
